Word,Frequency Rank,Zipf Frequency,Definition
traipsing,346,2.18,"(verb) To walk in a messy or unattractively casual way; to trail through dirt.; To walk about, especially when expending much effort, or unnecessary effort. | (noun) Laborious walking."
transcendentalism,434,1.92,"(noun) The transcending, or going beyond, empiricism, and ascertaining a priori the fundamental principles of human knowledge.; Ambitious and imaginative vagueness in thought, imagery, or diction."
travail,209,2.51,"(noun) Arduous or painful exertion; excessive labor, suffering, hardship.; Specifically, the labor of childbirth. | (noun) The act of traveling; passage from place to place.; (in the plural) A series of journeys. | (noun) A traditional North American Indian sled-like vehicle, pulled by person, dog, or horse."
travails,292,2.31,"(noun) Arduous or painful exertion; excessive labor, suffering, hardship.; Specifically, the labor of childbirth. | (verb) To toil.; To go through the labor of childbirth. | (noun) The act of traveling; passage from place to place.; (in the plural) A series of journeys. | (noun) A traditional North American Indian sled-like vehicle, pulled by person, dog, or horse."
truculence,525,1.43,The quality or state of being truculent; savageness of manners; ferociousness.
truculently,565,1.07,In a truculent manner.
tule,361,2.15,"A large bulrush (Scirpus lacustris, and S. Tatora) growing abundantly on overflowed land in California and elsewhere."
tules,562,1.11,
tweedy,250,2.4,
tyros,496,1.59,
unassailable,198,2.54,
unbidden,390,2.07,"(adjective) Not invited, requested or asked for"
uncouth,204,2.52,"(adjective) Unfamiliar, strange, foreign.; Clumsy, awkward."
undulators,100000,0,
unerring,307,2.28,(adjective) Consistently accurate; not missing a target.
unpretending,100000,0,"(adjective) Unpretentious, real, genuine"
unremitting,324,2.23,(adjective) Incessant; never slackening
unsullied,205,2.52,(adjective) Not sullied.
urbane,226,2.46,"(adjective) (of a man) Courteous, polite, refined, and suave."
usurping,251,2.4,"(verb) To seize power from another, usually by illegitimate means.; To use and assume the coat of arms of another person. | (noun) Usurpation"
vacillating,391,2.07,"(verb) To sway unsteadily from one side to the other; oscillate.; To swing indecisively from one course of action or opinion to another. | (noun) Vacillation | (adjective) Liable to vacillate; wavering, irresolute."
valise?,413,2.01,(noun) A piece of hand luggage such as a suitcase or travelling bag.
variegated,171,2.62,"(verb) To add variety to something.; To change the appearance of something, especially by covering with patches or streaks of different colour. | (adjective) Streaked, spotted, or otherwise marked with a variety of color.; (by extension) Very colorful."
venal,278,2.34,(adjective) Venous; pertaining to veins.
verdure,491,1.64,(noun) The greenness of lush or growing vegetation; also: the vegetation itself.; (hence) A condition of health and vigour. | (verb) To cover with verdure.
verisimilitude,347,2.18,"(noun) The property of seeming true, of resembling reality; resemblance to reality, realism.; A statement which merely appears to be true."
verity,106,2.82,"(noun) Truth, fact or reality, especially an enduring religious or ethical truth.; A true statement; an established doctrine."
vestments,201,2.53,"(noun) A robe, gown, or other article of clothing worn as an indication of office.; Any of the special articles of clothing worn by members of the clergy etc., especially a garment worn at the celebration of the Eucharist."
vestry,137,2.73,(noun) A room in a church where the clergy put on their vestments and where these are stored; also used for meetings and classes; a sacristy.; A committee of parishioners elected to administer the temporal affairs of a parish.
vintage,8,4.18,"(noun) The yield of grapes or wine from a vineyard or district during one season.; Wine, especially high-quality, identified as to year and vineyard or district of origin. | (verb) To harvest (grapes).; To make (wine) from grapes. | (adjective) Of or relating to a vintage, or to wine identified by a specific vintage.; Having an enduring appeal; high-quality."
visage,119,2.78,(noun) Countenance; appearance; one's face.
vociferously,313,2.26,(adverb) In a vociferous manner.
von Clausewitz,359,2.16,
vulpine,515,1.48,"(noun) Any of certain canids called foxes (including the true foxes, the arctic fox and the grey fox); distinguished from the canines, which are regarded as similar to the dog and wolf.; A person considered vulpine (cunning); a fox. | (adjective) Pertaining to a fox.; Having the characteristics of a fox, foxlike; cunning."
vérité,444,1.87,
wanton,92,2.86,"(noun) A pampered or coddled person.; An overly playful person; a trifler. | (verb) To rove and ramble without restraint, rule, or limit; to revel; to play loosely; to frolic.; To waste or squander, especially in pleasure (most often with away). | (adjective) Undisciplined, unruly; not able to be controlled.; Playful, sportive; merry or carefree."
welter,227,2.46,"(noun) A general confusion or muddle.; A tossing or rolling about. | (verb) To roll around; to wallow.; To revel, luxuriate."
whetting,499,1.57,"(verb) To hone or rub on with some substance, as a piece of stone, for the purpose of sharpening – see whetstone.; To stimulate or make more keen. | (noun) The process by which something is whetted."
whither,206,2.52,(verb) To wuther. | (adverb) To what place.
winos,500,1.57,(noun) A chronic or heavy drinker of cheap wine or other alcohol; a drunk or drunkard.; A wine enthusiast; an oenophile. | (noun) A hypothetical particle that is the superpartner of the W boson.
woollen,133,2.74,(noun) An item of clothing made from wool | (adjective) Made of wool.; Of or relating to wool or woolen cloths.
worsted,239,2.42,"(noun) Yarn made from long strands of wool.; The fine, smooth fabric made from such wool yarn."
wryly,244,2.41,(adverb) In a wry manner.
